Vertices        Edge Percentage Edges           Maximum Clique                                     Maximum Clique Size            Operations      Attempts        Time           
68              0.5             1139            [0,33,2,5,6,48,49,60]                              8                              68              68              0.0            
68              0.75            1708            [0,1,2,3,4,32,11,44,14,48,23,61]                   12                             68              68              0.0            
69              0.125           293             [0,2,56,37]                                        4                              69              69              0.0            
69              0.25            586             [0,24,4,6]                                         4                              69              69              0.0            
69              0.5             1173            [0,3,5,41,11,24]                                   6                              69              69              0.0            
69              0.75            1759            [0,1,2,4,6,42,11,12,14,16,21,58]                   12                             69              69              0.0            
70              0.125           301             [0,57,3]                                           3                              70              70              0.0            
70              0.25            603             [0,10,3]                                           3                              70              70              0.0            
70              0.5             1207            [0,1,2,67,10,23]                                   6                              70              70              0.0            
70              0.75            1811            [0,2,3,4,5,42,13,16,20,53,28]                      11                             70              70              0.0            
71              0.125           310             [0,13,63]                                          3                              71              71              0.0            
71              0.25            621             [0,57,13]                                          3                              71              71              0.0            
71              0.5             1242            [0,32,6,19,22]                                     5                              71              71              0.0            
71              0.75            1863            [0,1,2,4,68,42,12,47,17,20,52,24]                  12                             71              71              0.0            
72              0.125           319             [0,3]                                              2                              72              72              0.0            
72              0.25            639             [0,24,2]                                           3                              72              72              0.0            
72              0.5             1278            [0,2,5,69,7,48,31]                                 7                              72              72              0.0            
72              0.75            1917            [0,1,2,3,37,71,41,12,20,22,23]                     11                             72              72              0.0            
73              0.125           328             [0,9,34,15]                                        4                              73              73              0.0            
73              0.25            657             [0,6,22]                                           3                              73              73              0.0            
73              0.5             1314            [0,1,4,39,10,26,31]                                7                              73              73              0.0            
73              0.75            1971            [0,3,35,36,6,7,39,10,51,22,23,57,26]               13                             73              73              0.0            
74              0.125           337             [0,9,43]                                           3                              74              74              0.0            
74              0.25            675             [0,16,2,46]                                        4                              74              74              0.0            
74              0.5             1350            [0,2,3,35,6,19]                                    6                              74              74              0.0            
74              0.75            2025            [0,1,2,33,4,5,70,10,25,59,30]                      11                             74              74              0.0            
75              0.125           346             [0,3,63]                                           3                              75              75              0.0            
75              0.25            693             [0,4,29,6]                                         4                              75              75              0.0            
75              0.5             1387            [0,3,4,6,23,61]                                    6                              75              75              0.0            
75              0.75            2081            [0,1,2,3,70,10,12,13,15,20,54,26]                  12                             75              75              0.0            
76              0.125           356             [0,37,14]                                          3                              76              76              0.0            
76              0.25            712             [0,24,3]                                           3                              76              76              0.0            
76              0.5             1425            [0,1,2,9,48,23]                                    6                              76              76              0.0            
76              0.75            2137            [0,1,2,3,4,5,37,11,21,22]                          10                             76              76              0.0            
77              0.125           365             [0,12]                                             2                              77              77              0.0            
77              0.25            731             [0,10,18]                                          3                              77              77              0.0            
77              0.5             1463            [0,1,2,4,69,8,44]                                  7                              77              77              0.0            
77              0.75            2194            [0,33,2,5,7,46,15,54,25,31]                        10                             77              77              0.0            
78              0.125           375             [0,8]                                              2                              78              78              0.0            
78              0.25            750             [0,10,3,12]                                        4                              78              78              0.0            
78              0.5             1501            [0,2,5,7,19,25]                                    6                              78              78              0.0            
78              0.75            2252            [0,1,4,5,6,7,36,48,19,21,54]                       11                             78              78              0.0            
79              0.125           385             [0,1,53,31]                                        4                              79              79              0.0            
79              0.25            770             [0,2,10,5]                                         4                              79              79              0.0            
79              0.5             1540            [0,1,13,47,50,21,27]                               7                              79              79              0.0            
79              0.75            2310            [0,1,2,65,66,5,6,7,13,17,53,23,56]                 13                             79              79              0.0            
80              0.125           395             [0,4]                                              2                              80              80              0.0            
80              0.25            790             [0,56,3]                                           3                              80              80              0.0            
80              0.5             1580            [0,1,67,7,13,55,59]                                7                              80              80              0.0            
80              0.75            2370            [0,1,4,5,7,9,13,47,19,21,22,29]                    12                             80              80              0.0010020732879638672
81              0.125           405             [0,8,74,6]                                         4                              81              81              0.0            
81              0.25            810             [0,1,11]                                           3                              81              81              0.0            
81              0.5             1620            [0,1,2,69,7,41,24]                                 7                              81              81              0.0            
81              0.75            2430            [0,1,2,4,5,7,10,75,79,16,55,57]                    12                             81              81              0.0            
82              0.125           415             [0,1,45]                                           3                              82              82              0.001508951187133789
82              0.25            830             [0,24,13]                                          3                              82              82              0.0            
82              0.5             1660            [0,1,4,5,46,26]                                    6                              82              82              0.0            
82              0.75            2490            [0,1,2,3,33,9,13,16,19,56,60]                      11                             82              82              0.0            
83              0.125           425             [0,10,62]                                          3                              83              83              0.0            
83              0.25            850             [0,66,4,12]                                        4                              83              83              0.0            
83              0.5             1701            [0,2,8,11,12,43,78]                                7                              83              83              0.0            
83              0.75            2552            [0,1,2,65,4,7,9,46,18,22,24,58,31]                 13                             83              83              0.0            
84              0.125           435             [0,8,5]                                            3                              84              84              0.0            
84              0.25            871             [0,19,34,11]                                       4                              84              84              0.0            
84              0.5             1743            [0,1,8,10,55,27,30]                                7                              84              84              0.0            
84              0.75            2614            [0,1,2,3,4,5,68,7,39,49,28]                        11                             84              84              0.0            
85              0.125           446             [0,1,32]                                           3                              85              85              0.0            
85              0.25            892             [0,2,36]                                           3                              85              85              0.0            
85              0.5             1785            [0,2,36,7,20,58]                                   6                              85              85              0.0            
85              0.75            2677            [0,1,2,4,6,7,10,45,16,51,25,60]                    12                             85              85              0.0            
86              0.125           456             [0,4,20]                                           3                              86              86              0.0            
86              0.25            913             [0,1,25]                                           3                              86              86              0.0            
86              0.5             1827            [0,1,3,5,76,14]                                    6                              86              86              0.0            
86              0.75            2741            [0,2,6,70,11,12,13,14,43,16,18,57]                 12                             86              86              0.0            
87              0.125           467             [0,19]                                             2                              87              87              0.0            
87              0.25            935             [0,37,21,6]                                        4                              87              87              0.0            
87              0.5             1870            [0,35,3,6,10,59]                                   6                              87              87              0.0            
87              0.75            2805            [0,1,2,33,7,42,11,14,51,20,26,60]                  12                             87              87              0.0            
88              0.125           478             [0,26,6]                                           3                              88              88              0.0            
88              0.25            957             [0,25,3,14]                                        4                              88              88              0.0            
88              0.5             1914            [0,1,6,12,82,87,60]                                7                              88              88              0.0009989738464355469
88              0.75            2871            [0,1,2,3,7,8,43,12,49,52,23,56,25]                 13                             88              88              0.0            
89              0.125           489             [0,48,7]                                           3                              89              89              0.0            
89              0.25            979             [0,1,12,20]                                        4                              89              89              0.0            
89              0.5             1958            [0,1,34,4,6,40,27]                                 7                              89              89              0.0            
89              0.75            2937            [0,1,2,3,64,6,7,10,11,43,45,55,59]                 13                             89              89              0.001001119613647461
90              0.125           500             [0,80,4]                                           3                              90              90              0.0            
90              0.25            1001            [0,6,23]                                           3                              90              90              0.0            
90              0.5             2002            [0,1,2,14,17,54]                                   6                              90              90              0.0            
90              0.75            3003            [0,1,3,4,39,8,10,78,89,27,62]                      11                             90              90              0.0            
91              0.125           511             [0,26,3]                                           3                              91              91              0.0            
91              0.25            1023            [0,1,16]                                           3                              91              91              0.0            
91              0.5             2047            [0,1,32,78,16,31]                                  6                              91              91              0.0            
91              0.75            3071            [0,1,2,3,5,13,14,18,50,31]                         10                             91              91              0.0            
92              0.125           523             [0,3]                                              2                              92              92              0.0            
92              0.25            1046            [0,1,8]                                            3                              92              92              0.0            
92              0.5             2093            [0,1,36,5,11,13]                                   6                              92              92              0.0            
92              0.75            3139            [0,32,2,3,4,6,10,17,81,87,27,30]                   12                             92              92              0.0009999275207519531
93              0.125           534             [0,2,45]                                           3                              93              93              0.0            
93              0.25            1069            [0,1,54]                                           3                              93              93              0.0            
93              0.5             2139            [0,2,11,85,23,31]                                  6                              93              93              0.0            
93              0.75            3208            [0,1,2,3,4,5,36,11,16,23,31]                       11                             93              93              0.0            
94              0.125           546             [0,19]                                             2                              94              94              0.0            
94              0.25            1092            [0,33,2,48]                                        4                              94              94              0.0            
94              0.5             2185            [0,68,5,9,22,30]                                   6                              94              94              0.0            
94              0.75            3278            [0,1,3,6,10,11,16,48,50,53,27,60,29]               13                             94              94              0.0010001659393310547
95              0.125           558             [0,2,7]                                            3                              95              95              0.0            
95              0.25            1116            [0,21,5]                                           3                              95              95              0.0            
95              0.5             2232            [0,3,7,20,53,28,62]                                7                              95              95              0.0            
95              0.75            3348            [0,1,2,3,34,5,10,12,17,18,22,57]                   12                             95              95              0.0            
96              0.125           570             [0,14]                                             2                              96              96              0.0            
96              0.25            1140            [0,1,3,51]                                         4                              96              96              0.0            
96              0.5             2280            [0,1,36,8,11,83]                                   6                              96              96              0.0            
96              0.75            3420            [0,33,2,3,4,38,71,11,75,14,20,23,89]               13                             96              96              0.0            
97              0.125           582             [0,4]                                              2                              97              97              0.0            
97              0.25            1164            [0,33,42,5]                                        4                              97              97              0.0            
97              0.5             2328            [0,3,5,11,12,29]                                   6                              97              97              0.0            
97              0.75            3492            [0,1,3,4,39,72,9,10,17,19,31]                      11                             97              97              0.00099945068359375
98              0.125           594             [0,1,82]                                           3                              98              98              0.0            
98              0.25            1188            [0,3,4]                                            3                              98              98              0.0            
98              0.5             2376            [0,2,8,13,77,26]                                   6                              98              98              0.0            
98              0.75            3564            [0,3,35,5,8,10,11,12,13,15,48]                     11                             98              98              0.0            
99              0.125           606             [0,17,28]                                          3                              99              99              0.0            
99              0.25            1212            [0,3,45,15]                                        4                              99              99              0.0            
99              0.5             2425            [0,1,2,66,6,8]                                     6                              99              99              0.0            
99              0.75            3638            [0,1,2,34,5,7,10,13,16,83,52,21,25]                13                             99              99              0.0            
100             0.125           618             [0,24,10]                                          3                              100             100             0.0            
100             0.25            1237            [0,51,10,3]                                        4                              100             100             0.0            
