Vertices        Edge Percentage Edges           Maximum Clique                                     Maximum Clique Size            Operations      Attempts        Time           
70              0.25            603             [18,48,13,20]                                      4                              5004            961             0.019022464752197266
70              0.5             1207            [54,23,67,41,27]                                   5                              5005            785             0.01867508888244629
70              0.75            1811            [54,31,65,12,30,63,58,35,18,51]                    10                             5008            385             0.020018577575683594
71              0.125           310             [14,1,51]                                          3                              5002            1286            0.020543336868286133
71              0.25            621             [43,65,10]                                         3                              5000            1212            0.021022558212280273
71              0.5             1242            [26,14,33,60,66]                                   5                              5005            764             0.018024444580078125
71              0.75            1863            [9,62,36,32,8,7,45,34,29]                          9                              5002            417             0.019022226333618164
72              0.125           319             [54,13,21]                                         3                              5002            1238            0.02001953125  
72              0.25            639             [46,56,8,34]                                       4                              5004            995             0.01902627944946289
72              0.5             1278            [54,28,59,14,65,53]                                6                              5001            706             0.017017126083374023
72              0.75            1917            [54,46,33,36,47,41,35,14,22,64]                    10                             5000            382             0.019056081771850586
73              0.125           328             [72,28,62]                                         3                              5003            1266            0.02102208137512207
73              0.25            657             [55,11,22,68]                                      4                              5003            1175            0.02002406120300293
73              0.5             1314            [46,59,61,3,69]                                    5                              5002            766             0.01772618293762207
73              0.75            1971            [46,70,62,67,2,68,21,15,49,64]                     10                             5012            388             0.01954817771911621
74              0.125           337             [70,28,64]                                         3                              5001            1246            0.019599437713623047
74              0.25            675             [55,62,9]                                          3                              5000            1211            0.020580530166625977
74              0.5             1350            [31,26,19,3,0]                                     5                              5000            773             0.01902008056640625
74              0.75            2025            [46,26,17,21,18,71,40,24,37,11]                    10                             5018            398             0.02002692222595215
75              0.125           346             [70,73,30]                                         3                              5002            1270            0.020546674728393555
75              0.25            693             [50,1,24,57]                                       4                              5001            1137            0.019613027572631836
75              0.5             1387            [46,23,30,40,51]                                   5                              5005            773             0.018592119216918945
75              0.75            2081            [28,43,60,17,2,36,12,20,71,14]                     10                             5004            404             0.018579959869384766
76              0.125           356             [32,37,44]                                         3                              5000            1239            0.02102041244506836
76              0.25            712             [59,48,4,51]                                       4                              5004            959             0.018555641174316406
76              0.5             1425            [1,26,56,48,2,12]                                  6                              5001            687             0.017535924911499023
76              0.75            2137            [46,62,17,52,0,63,21,15,1]                         9                              5008            424             0.01901531219482422
77              0.125           365             [49,67,73]                                         3                              5001            1250            0.0207061767578125
77              0.25            731             [14,27,66,0]                                       4                              5004            1200            0.020028114318847656
77              0.5             1463            [50,35,19,30,49]                                   5                              5000            772             0.019087791442871094
77              0.75            2194            [31,9,75,17,41,5,10,72,34]                         9                              5004            414             0.019021034240722656
78              0.125           375             [14,38,53]                                         3                              5003            1308            0.021039962768554688
78              0.25            750             [62,28,61]                                         3                              5001            1209            0.02102208137512207
78              0.5             1501            [28,14,34,65,15]                                   5                              5005            771             0.018138408660888672
78              0.75            2252            [54,31,33,4,36,55,44,45,42]                        9                              5009            417             0.018628358840942383
79              0.125           385             [64,76,68]                                         3                              5002            1259            0.021026611328125
79              0.25            770             [46,28,59]                                         3                              5002            1203            0.02011871337890625
79              0.5             1540            [54,26,9,22,34]                                    5                              5001            766             0.01751399040222168
79              0.75            2310            [67,20,74,19,41,5,69,1,22]                         9                              5010            423             0.02002692222595215
80              0.125           395             [72,79,31]                                         3                              5000            1246            0.020554542541503906
80              0.25            790             [41,18,51]                                         3                              5000            1221            0.020679473876953125
80              0.5             1580            [54,37,70,5,60,0]                                  6                              5002            653             0.01702094078063965
80              0.75            2370            [33,17,60,7,18,61,23,72,13]                        9                              5004            419             0.019025802612304688
81              0.125           405             [70,28,63]                                         3                              5000            1265            0.023026466369628906
81              0.25            810             [61,54,40,6]                                       4                              5001            1205            0.026124000549316406
81              0.5             1620            [1,59,21,18,38]                                    5                              5001            767             0.019671916961669922
81              0.75            2430            [79,60,75,17,0,78,7,40,10]                         9                              5003            425             0.021028995513916016
82              0.125           415             [58,24,1]                                          3                              5003            1254            0.020020008087158203
82              0.25            830             [9,61,51,34]                                       4                              5001            959             0.019023418426513672
82              0.5             1660            [54,46,39,2,52]                                    5                              5002            765             0.01753854751586914
82              0.75            2490            [79,67,65,12,30,41,37,72,22,42]                    10                             5001            395             0.019598960876464844
83              0.125           425             [41,26,53]                                         3                              5001            1261            0.02067089080810547
83              0.25            850             [70,56,45,36]                                      4                              5001            981             0.02102518081665039
83              0.5             1701            [55,8,61,73,0]                                     5                              5004            760             0.01802682876586914
83              0.75            2552            [28,9,43,67,65,8,80,56,49,73]                      10                             5002            382             0.020534515380859375
84              0.125           435             [70,24,10]                                         3                              5000            1253            0.020023107528686523
84              0.25            871             [31,48,11]                                         3                              5003            1200            0.02002549171447754
84              0.5             1743            [59,39,22,2,52,15]                                 6                              5006            703             0.018019914627075195
84              0.75            2614            [46,70,62,38,65,78,76,10,23,83]                    10                             5012            372             0.01960587501525879
85              0.125           446             [68,6,35]                                          3                              5001            1269            0.021209001541137695
85              0.25            892             [4,19,73]                                          3                              5003            1188            0.02002573013305664
85              0.5             1785            [71,5,76,4,58]                                     5                              5004            774             0.0180206298828125
