Vertices        Edge Percentage Edges           Maximum Clique                                     Maximum Clique Size            Operations      Attempts        Time           
54              0.25            357             [13,21,0]                                          3                              1002            230             0.003999948501586914
54              0.5             715             [4,3,30,45,2]                                      5                              1000            147             0.0030050277709960938
54              0.75            1073            [23,36,47,25,0,18,52,29,33]                        9                              1010            85              0.0039997100830078125
55              0.125           185             [26,7,1]                                           3                              1002            242             0.0039997100830078125
55              0.25            371             [5,23,53]                                          3                              1002            230             0.0040013790130615234
55              0.5             742             [24,14,38,53]                                      4                              1001            155             0.0035109519958496094
55              0.75            1113            [43,4,5,23,45,53,25,50]                            8                              1002            89              0.0039997100830078125
56              0.125           192             [32,5,15]                                          3                              1000            239             0.004000186920166016
56              0.25            385             [36,48,52]                                         3                              1003            230             0.003997087478637695
56              0.5             770             [11,32,8,37]                                       4                              1004            147             0.004000186920166016
56              0.75            1155            [5,15,8,41,28,45,17,12,33]                         9                              1008            79              0.003999948501586914
57              0.125           199             [7,14]                                             2                              1000            269             0.004000663757324219
57              0.25            399             [5,40,34]                                          3                              1001            236             0.003999948501586914
57              0.5             798             [5,23,8,41,31,12]                                  6                              1001            121             0.0029993057250976562
57              0.75            1197            [23,41,47,25,46,52,16,37,43]                       9                              1005            78              0.0030002593994140625
58              0.125           206             [4,2,36]                                           3                              1003            249             0.0040018558502197266
58              0.25            413             [26,7,28,42]                                       4                              1002            227             0.004998207092285156
58              0.5             826             [26,55,24,14,38]                                   5                              1003            145             0.003000020980834961
58              0.75            1239            [19,4,49,10,12,34,25,52]                           8                              1006            81              0.003999948501586914
59              0.125           213             [26,13,34]                                         3                              1002            241             0.004000425338745117
59              0.25            427             [39,21,25]                                         3                              1002            239             0.004000425338745117
59              0.5             855             [26,4,42,49,9]                                     5                              1004            153             0.0030002593994140625
59              0.75            1283            [4,11,23,44,0,35,12,38,2]                          9                              1003            79              0.00400233268737793
60              0.125           221             [50,30,58]                                         3                              1000            238             0.0039997100830078125
60              0.25            442             [39,24,14]                                         3                              1000            229             0.003999948501586914
60              0.5             885             [4,45,10,34,46]                                    5                              1000            145             0.0040013790130615234
60              0.75            1327            [19,59,32,10,6,21,25,51]                           8                              1008            79              0.004003047943115234
61              0.125           228             [53,55]                                            2                              1000            272             0.003997325897216797
61              0.25            457             [11,3,52,42]                                       4                              1005            191             0.0040018558502197266
61              0.5             915             [26,1,37,25,35]                                    5                              1002            150             0.003002643585205078
61              0.75            1372            [4,59,25,0,27,52,30,14,38]                         9                              1005            80              0.003516674041748047
62              0.125           236             [11,1,28]                                          3                              1001            237             0.0039975643157958984
62              0.25            472             [51,57,15]                                         3                              1001            235             0.0040013790130615234
62              0.5             945             [17,41,6,13,47]                                    5                              1000            148             0.003998756408691406
62              0.75            1418            [15,47,44,48,46,17,29,50,38]                       9                              1006            81              0.003999948501586914
63              0.125           244             [13,47,10]                                         3                              1001            238             0.003999471664428711
63              0.25            488             [43,27,47,48]                                      4                              1003            179             0.004002094268798828
63              0.5             976             [4,26,42,52,19]                                    5                              1007            148             0.0029990673065185547
63              0.75            1464            [26,15,32,54,8,7,41,13]                            8                              1008            95              0.003999948501586914
64              0.125           252             [1,6,38]                                           3                              1000            239             0.004998922348022461
64              0.25            504             [29,12,58]                                         3                              1000            230             0.0040018558502197266
64              0.5             1008            [4,8,9,23,34,43]                                   6                              1001            122             0.003998994827270508
